Country,Dog_Population,Cat_Population,Bird_Population,Aquatic_Pets,SmallMammal_Population,Reptile_Population
Austria,641000,1815000,240000,240000,510000,135000
Belgium,1320000,2030000,450000,300000,1340000,88000
Bulgaria,740000,800000,42000,72000,55000,12000
Czech Republic,2000000,1400000,70000,55000,170000,5000
Denmark,600000,670000,205000,350000,370000,95000
Estonia,230000,285000,NA,NA,NA,NA
Finland,810000,950000,60000,40000,160000,25000
France,7600000,14200000,4700000,2600000,3800000,2200000
Germany,10100000,14700000,4000000,1600000,5200000,1200000
Greece,660000,590000,970000,85000,420000,8000
Hungary,2050000,2300000,435000,85000,395000,58000
Ireland,455000,325000,91000,24000,155000,40000
Italy,7011000,7290000,12880000,1500000,1823000,1361000
Latvia,260000,400000,NA,NA,NA,NA
Lithuania,550000,600000,NA,NA,NA,NA
Netherlands,1690000,2940000,2440000,769000,1120000,250000
Norway,505000,750000,135000,150000,170000,110000
Poland,7750000,6600000,1200000,390000,1150000,250000
Portugal,2050000,1500000,650000,110000,215000,40000
Romania,4150000,4300000,280000,90000,95000,30000
Russia,16800000,22800000,3200000,3800000,6000000,890000
Slovakia,915000,520000,28000,45000,48000,3500
Slovenia,295000,450000,40000,35000,85000,3000
Spain,6733000,3795000,6991000,8150000,1490000,1241000
Sweden,890000,1480000,320000,750000,500000,60000
Switzerland,505000,1634000,241000,210000,494000,370000
Turkey,1200000,3800000,11200000,900000,800000,150000
United Kingdom,9000000,7500000,1000000,1200000,2000000,800000
